constraint_id,constraint_type,generic_land_use_type_id,maximum,minimum,plan_type_id
369,units_per_acre,2,1012.0,0.0,1
831,far,3,12.0,1.0,2
370,units_per_acre,2,600.0,0.0,2
1296,far,4,12.0,1.0,2
1893,far,6,12.0,1.0,2
371,units_per_acre,2,566.28,0.0,3
372,units_per_acre,2,516.186,0.0,4
832,far,3,1.5,0.0,4
1894,far,6,1.5,0.0,4
1297,far,4,1.5,0.0,4
1298,far,4,8.0,0.0,5
833,far,3,8.0,0.0,5
373,units_per_acre,2,479.16,0.0,5
1895,far,6,8.0,0.0,5
374,units_per_acre,2,467.617,0.0,6
1299,far,4,2.5,0.0,6
834,far,3,2.5,0.0,6
1896,far,6,2.5,0.0,6
1300,far,4,2.5,0.0,7
1897,far,6,2.5,0.0,7
835,far,3,2.5,0.0,7
375,units_per_acre,2,444.312,0.0,7
836,far,3,1.5,0.0,8
1301,far,4,1.5,0.0,8
376,units_per_acre,2,393.782,0.0,8
1898,far,6,1.5,0.0,8
837,far,3,11.0,0.0,9
1899,far,6,11.0,0.0,9
1302,far,4,11.0,0.0,9
377,units_per_acre,2,383.328,0.0,9
1303,far,4,4.0,0.0,10
838,far,3,4.0,0.0,10
1900,far,6,4.0,0.0,10
378,units_per_acre,2,388.555,0.0,10
839,far,3,5.5,0.0,11
1901,far,6,5.5,0.0,11
379,units_per_acre,2,374.0,0.0,11
1304,far,4,5.5,0.0,11
380,units_per_acre,2,360.0,0.0,12
1305,far,4,4.5,0.0,12
840,far,3,4.5,0.0,12
1902,far,6,4.5,0.0,12
1903,far,6,7.0,0.0,13
841,far,3,7.0,0.0,13
1306,far,4,7.0,0.0,13
381,units_per_acre,2,350.0,0.0,13
1307,far,4,0.5,0.0,14
1904,far,6,0.5,0.0,14
382,units_per_acre,2,350.0,0.0,14
842,far,3,8.0,0.0,15
383,units_per_acre,2,321.255,0.0,15
1308,far,4,8.0,0.0,15
1905,far,6,8.0,0.0,15
1309,far,4,1.5,0.0,16
384,units_per_acre,2,313.632,0.0,16
843,far,3,1.5,0.0,16
1906,far,6,1.5,0.0,16
844,far,3,9.5,0.0,17
385,units_per_acre,2,300.0,0.0,17
1310,far,4,9.5,0.0,17
1907,far,6,9.5,0.0,17
1908,far,6,6.0,0.0,18
386,units_per_acre,2,300.0,40.0,18
845,far,3,6.0,0.0,18
1311,far,4,6.0,0.0,18
387,units_per_acre,2,300.0,0.0,19
1312,far,4,6.0,1.0,19
1313,far,4,6.0,1.0,20
388,units_per_acre,2,300.0,0.0,20
846,far,3,6.0,1.0,20
1909,far,6,6.0,1.0,20
389,units_per_acre,2,300.0,0.0,21
1314,far,4,4.0,1.0,21
1910,far,6,6.0,0.0,22
390,units_per_acre,2,296.208,0.0,22
847,far,3,6.0,0.0,22
1315,far,4,6.0,0.0,22
391,units_per_acre,2,275.0,0.0,23
1911,far,6,9.0,0.0,23
1316,far,4,9.0,0.0,23
848,far,3,9.0,0.0,23
1317,far,4,8.0,0.0,24
849,far,3,8.0,0.0,24
1912,far,6,8.0,0.0,24
392,units_per_acre,2,275.0,0.0,24
1318,far,4,8.0,0.0,25
1913,far,6,8.0,0.0,25
393,units_per_acre,2,275.0,1.0,25
850,far,3,8.0,0.0,25
851,far,3,7.0,0.0,26
1319,far,4,7.0,0.0,26
1914,far,6,7.0,0.0,26
394,units_per_acre,2,275.0,0.0,26
1915,far,6,4.0,0.0,27
395,units_per_acre,2,275.648,0.0,27
852,far,3,4.0,0.0,27
1320,far,4,4.0,0.0,27
1916,far,6,21.0,0.0,28
396,units_per_acre,2,257.004,0.0,28
1321,far,4,21.0,0.0,28
853,far,3,21.0,0.0,28
397,units_per_acre,2,260.0,0.0,29
1917,far,6,9.0,0.0,29
854,far,3,9.0,0.0,29
1322,far,4,9.0,0.0,29
1323,far,4,7.0,0.0,30
398,units_per_acre,2,261.36,0.0,30
855,far,3,7.0,0.0,30
1918,far,6,7.0,0.0,30
1919,far,6,4.5,0.0,31
856,far,3,4.5,0.0,31
1324,far,4,4.5,0.0,31
399,units_per_acre,2,258.42,0.0,31
400,units_per_acre,2,250.0,75.0,32
1325,far,4,10.0,0.0,32
1920,far,6,10.0,0.0,32
857,far,3,10.0,0.0,32
1921,far,6,7.0,0.0,33
1326,far,4,7.0,0.0,33
401,units_per_acre,2,250.0,0.0,33
858,far,3,7.0,0.0,33
1922,far,6,4.5,0.0,34
859,far,3,4.5,0.0,34
1327,far,4,4.5,0.0,34
402,units_per_acre,2,250.906,0.0,34
860,far,3,5.0,0.0,35
1923,far,6,5.0,0.0,35
1328,far,4,5.0,0.0,35
403,units_per_acre,2,250.0,0.0,35
1329,far,4,8.0,0.0,36
404,units_per_acre,2,243.936,0.0,36
1924,far,6,8.0,0.0,36
861,far,3,8.0,0.0,36
405,units_per_acre,2,235.224,0.0,37
862,far,3,7.0,0.0,37
1330,far,4,7.0,0.0,37
1925,far,6,7.0,0.0,37
863,far,3,4.6,0.0,38
406,units_per_acre,2,222.156,0.0,38
1926,far,6,4.6,0.0,38
1331,far,4,4.6,0.0,38
407,units_per_acre,2,217.8,0.0,39
1927,far,6,7.0,0.0,39
1332,far,4,7.0,0.0,39
864,far,3,7.0,0.0,39
1333,far,4,14.0,0.0,40
408,units_per_acre,2,200.0,0.0,40
1928,far,6,14.0,0.0,40
865,far,3,14.0,0.0,40
1929,far,6,5.0,0.0,41
1334,far,4,5.0,0.0,41
409,units_per_acre,2,200.0,0.0,41
866,far,3,5.0,0.0,41
867,far,3,3.0,0.0,42
1335,far,4,3.0,0.0,42
410,units_per_acre,2,200.0,30.0,42
1930,far,6,3.0,0.0,42
1336,far,4,0.5,0.0,43
1931,far,6,0.5,0.0,43
868,far,3,0.5,0.0,43
411,units_per_acre,2,196.0,0.0,43
869,far,3,6.5,0.0,44
1337,far,4,6.5,0.0,44
1932,far,6,6.5,0.0,44
412,units_per_acre,2,185.13,0.0,44
413,units_per_acre,2,185.13,0.0,45
1933,far,6,7.0,0.0,46
1338,far,4,7.0,0.0,46
870,far,3,7.0,0.0,46
414,units_per_acre,2,174.24,0.0,46
1934,far,6,5.0,0.0,47
415,units_per_acre,2,176.0,0.0,47
1339,far,4,5.0,0.0,47
1935,far,6,6.0,0.0,48
871,far,3,6.0,0.0,48
1340,far,4,6.0,0.0,48
416,units_per_acre,2,175.0,0.0,48
1808,far,5,5.35,0.0,49
872,far,3,5.35,0.0,49
1341,far,4,5.35,0.0,49
1936,far,6,5.35,0.0,49
417,units_per_acre,2,175.24,1.0,49
1342,far,4,6.0,0.0,50
418,units_per_acre,2,174.24,0.0,50
873,far,3,6.0,0.0,50
1937,far,6,6.0,0.0,50
1938,far,6,5.0,0.0,51
419,units_per_acre,2,175.0,1.0,51
874,far,3,5.0,0.0,51
1343,far,4,5.0,0.0,51
875,far,3,5.35,0.0,52
420,units_per_acre,2,174.24,1.0,52
1939,far,6,5.35,0.0,52
1344,far,4,5.35,0.0,52
1809,far,5,5.35,0.0,52
876,far,3,4.0,0.0,53
1345,far,4,4.0,0.0,53
1940,far,6,4.0,0.0,53
421,units_per_acre,2,174.24,1.0,53
1810,far,5,4.0,0.0,53
422,units_per_acre,2,167.27,0.0,54
1346,far,4,6.5,0.0,54
1941,far,6,6.5,0.0,54
877,far,3,6.5,0.0,54
1942,far,6,3.52,0.0,55
1347,far,4,3.52,0.0,55
878,far,3,3.52,0.0,55
423,units_per_acre,2,169.884,0.0,55
1348,far,4,5.25,0.0,56
879,far,3,5.25,0.0,56
424,units_per_acre,2,167.27,0.0,56
1943,far,6,5.25,0.0,56
425,units_per_acre,2,167.27,0.0,57
1349,far,4,5.0,0.0,57
880,far,3,5.0,0.0,57
1944,far,6,5.0,0.0,57
1350,far,4,3.75,0.0,58
426,units_per_acre,2,165.0,0.0,58
881,far,3,3.75,0.0,58
1945,far,6,3.75,0.0,58
427,units_per_acre,2,157.0,0.0,59
1351,far,4,3.25,0.0,59
882,far,3,3.25,0.0,59
1946,far,6,3.25,0.0,59
1352,far,4,4.5,0.0,60
428,units_per_acre,2,153.549,0.0,60
1947,far,6,4.5,0.0,60
883,far,3,4.5,0.0,60
1353,far,4,7.92,0.0,61
884,far,3,7.92,0.0,61
1948,far,6,7.92,0.0,61
429,units_per_acre,2,150.0,25.0,61
1354,far,4,7.0,1.5,62
885,far,3,7.0,1.5,62
1949,far,6,7.0,1.5,62
430,units_per_acre,2,150.0,0.0,62
1950,far,6,7.0,0.0,63
431,units_per_acre,2,150.0,0.0,63
1355,far,4,7.0,0.0,63
886,far,3,7.0,0.0,63
1356,far,4,6.5,0.0,64
1951,far,6,6.5,0.0,64
432,units_per_acre,2,150.0,0.0,64
887,far,3,6.5,0.0,64
1357,far,4,3.5,0.0,65
888,far,3,3.5,0.0,65
1952,far,6,3.5,0.0,65
433,units_per_acre,2,152.46,0.0,65
434,units_per_acre,2,152.46,0.0,66
1358,far,4,3.5,0.0,66
1953,far,6,3.5,0.0,66
1954,far,6,5.0,0.0,67
889,far,3,5.0,0.0,67
435,units_per_acre,2,150.0,20.0,67
1359,far,4,5.0,0.0,67
1955,far,6,5.0,0.75,68
890,far,3,5.0,0.75,68
436,units_per_acre,2,150.0,0.0,68
1360,far,4,5.0,0.75,68
1956,far,6,5.0,0.0,69
437,units_per_acre,2,150.0,0.0,69
891,far,3,5.0,0.0,69
1361,far,4,5.0,0.0,69
1362,far,4,5.0,0.0,70
1811,far,5,5.0,0.0,70
1957,far,6,5.0,0.0,70
892,far,3,5.0,0.0,70
438,units_per_acre,2,150.0,0.0,70
1958,far,6,3.0,0.0,71
893,far,3,3.0,0.0,71
1363,far,4,3.0,0.0,71
439,units_per_acre,2,152.0,0.0,71
1959,far,6,4.25,0.0,72
440,units_per_acre,2,150.0,0.0,72
1364,far,4,4.25,0.0,72
894,far,3,4.25,0.0,72
1365,far,4,4.0,0.0,73
1960,far,6,4.0,0.0,73
441,units_per_acre,2,150.0,0.0,73
895,far,3,4.0,0.0,73
896,far,3,3.67,0.0,74
1961,far,6,3.67,0.0,74
442,units_per_acre,2,150.0,0.0,74
1366,far,4,3.67,0.0,74
443,units_per_acre,2,150.0,0.0,75
1962,far,6,3.5,0.0,75
1367,far,4,3.5,0.0,75
897,far,3,3.5,0.0,75
898,far,3,3.0,0.0,76
444,units_per_acre,2,150.0,0.0,76
1963,far,6,3.0,0.0,76
1368,far,4,3.0,0.0,76
445,units_per_acre,2,152.0,0.0,77
1369,far,4,1.0,0.0,77
1964,far,6,1.0,0.0,77
899,far,3,1.0,0.0,77
1965,far,6,3.0,0.0,78
446,units_per_acre,2,150.0,25.0,78
1370,far,4,3.0,0.0,78
900,far,3,3.0,0.0,78
447,units_per_acre,2,150.0,0.0,79
1371,far,4,5.0,0.0,80
448,units_per_acre,2,145.0,0.0,80
1966,far,6,5.0,0.0,80
449,units_per_acre,2,137.824,0.0,81
1372,far,4,7.5,0.0,81
1967,far,6,7.5,0.0,81
901,far,3,7.5,0.0,81
450,units_per_acre,2,139.392,0.0,82
902,far,3,5.5,0.0,82
1373,far,4,5.5,0.0,82
1968,far,6,5.5,0.0,82
1969,far,6,5.0,0.0,83
451,units_per_acre,2,137.0,0.0,83
903,far,3,5.0,0.0,83
1374,far,4,5.0,0.0,83
452,units_per_acre,2,139.392,0.0,84
1375,far,4,0.5,0.0,85
904,far,3,0.5,0.0,85
453,units_per_acre,2,137.0,0.0,85
1970,far,6,0.5,0.0,85
1376,far,4,6.0,0.0,86
454,units_per_acre,2,130.68,0.0,86
1971,far,6,6.0,0.0,86
905,far,3,6.0,0.0,86
455,units_per_acre,2,130.68,0.0,87
906,far,3,4.5,0.0,87
1972,far,6,4.5,0.0,87
1377,far,4,4.5,0.0,87
907,far,3,4.0,0.0,88
456,units_per_acre,2,130.0,0.0,88
1378,far,4,4.0,0.0,88
1973,far,6,4.0,0.0,88
1379,far,4,4.0,0.0,89
457,units_per_acre,2,130.0,0.0,89
1812,far,5,4.0,0.0,89
1974,far,6,4.0,0.0,89
908,far,3,4.0,0.0,89
1380,far,4,3.0,0.0,90
909,far,3,3.0,0.0,90
458,units_per_acre,2,130.68,0.0,90
1975,far,6,3.0,0.0,90
459,units_per_acre,2,130.68,0.0,91
910,far,3,3.0,0.0,91
1381,far,4,3.0,0.0,91
1976,far,6,3.5,1.0,92
460,units_per_acre,2,130.0,0.0,92
911,far,3,3.5,1.0,92
1382,far,4,3.5,1.0,92
461,units_per_acre,2,126.324,0.0,93
1977,far,6,6.0,0.0,93
1383,far,4,6.0,0.0,93
912,far,3,6.0,0.0,93
462,units_per_acre,2,130.68,0.0,94
1978,far,6,5.0,0.0,95
913,far,3,5.0,0.0,95
463,units_per_acre,2,121.968,0.0,95
1384,far,4,5.0,0.0,95
1385,far,4,4.0,0.0,96
914,far,3,4.0,0.0,96
464,units_per_acre,2,122.0,0.0,96
1979,far,6,4.0,0.0,96
1980,far,6,4.0,0.0,97
1386,far,4,4.0,0.0,97
465,units_per_acre,2,120.0,0.0,97
915,far,3,4.0,0.0,97
466,units_per_acre,2,120.0,1.0,98
1981,far,6,3.0,0.0,99
916,far,3,3.0,0.0,99
1387,far,4,3.0,0.0,99
467,units_per_acre,2,120.0,0.0,99
1813,far,5,4.5,0.0,100
468,units_per_acre,2,116.16,0.0,100
1388,far,4,4.5,0.0,100
917,far,3,4.5,0.0,100
1982,far,6,4.5,0.0,100
1389,far,4,7.0,0.0,101
469,units_per_acre,2,108.9,0.0,101
918,far,3,7.0,0.0,101
1983,far,6,7.0,0.0,101
1390,far,4,4.25,0.0,102
919,far,3,4.25,0.0,102
1984,far,6,4.25,0.0,102
470,units_per_acre,2,111.078,0.0,102
471,units_per_acre,2,108.9,0.0,103
1985,far,6,5.0,0.0,103
920,far,3,5.0,0.0,103
1391,far,4,5.0,0.0,103
1986,far,6,3.5,0.0,104
472,units_per_acre,2,110.0,0.0,104
921,far,3,3.5,0.0,104
1392,far,4,3.5,0.0,104
1814,far,5,2.7,0.0,105
922,far,3,2.7,0.0,105
1987,far,6,2.7,0.0,105
1393,far,4,2.7,0.0,105
473,units_per_acre,2,108.9,1.0,105
1394,far,4,3.0,0.0,106
1988,far,6,3.0,0.0,106
474,units_per_acre,2,106.0,0.0,106
923,far,3,1.0,0.0,107
1395,far,4,1.0,0.0,107
475,units_per_acre,2,107.0,0.0,107
1989,far,6,1.0,0.0,107
1396,far,4,5.75,0.0,108
476,units_per_acre,2,100.0,0.0,108
1990,far,6,5.75,0.0,108
924,far,3,5.75,0.0,108
1991,far,6,5.5,0.0,109
477,units_per_acre,2,100.0,0.0,109
925,far,3,5.5,0.0,109
1397,far,4,5.5,0.0,109
1398,far,4,6.0,0.0,110
926,far,3,6.0,0.0,110
1992,far,6,6.0,0.0,110
478,units_per_acre,2,98.446,0.0,110
927,far,3,4.25,1.0,111
1815,far,5,4.25,1.0,111
1399,far,4,4.25,1.0,111
1993,far,6,4.25,1.0,111
479,units_per_acre,2,100.0,0.0,111
1400,far,4,4.0,0.0,112
1994,far,6,4.0,0.0,112
480,units_per_acre,2,100.0,0.0,112
928,far,3,4.0,0.0,112
1816,far,5,4.0,1.0,113
1995,far,6,4.0,1.0,113
1401,far,4,4.0,1.0,113
481,units_per_acre,2,100.0,0.0,113
929,far,3,4.0,1.0,113
1996,far,6,3.5,0.0,114
930,far,3,3.5,0.0,114
482,units_per_acre,2,100.0,0.0,114
1402,far,4,3.5,0.0,114
483,units_per_acre,2,100.0,8.0,115
931,far,3,3.12,0.0,115
1403,far,4,3.12,0.0,115
1997,far,6,3.12,0.0,115
1998,far,6,3.0,0.0,116
1404,far,4,3.0,0.0,116
484,units_per_acre,2,100.0,0.0,116
932,far,3,3.0,0.0,116
1999,far,6,3.0,0.0,117
485,units_per_acre,2,100.0,0.0,117
1405,far,4,3.0,0.0,117
933,far,3,3.0,0.0,117
1406,far,4,3.0,0.0,118
2000,far,6,3.0,0.0,118
486,units_per_acre,2,100.0,30.0,118
934,far,3,3.0,0.0,118
1407,far,4,3.0,1.5,119
935,far,3,3.0,1.5,119
487,units_per_acre,2,100.0,0.0,119
2001,far,6,3.0,1.5,119
1408,far,4,3.0,0.0,120
936,far,3,3.0,0.0,120
488,units_per_acre,2,100.0,16.0,120
2002,far,6,3.0,0.0,120
937,far,3,4.75,0.0,121
489,units_per_acre,2,98.01,0.0,121
1409,far,4,4.75,0.0,121
2003,far,6,4.75,0.0,121
2004,far,6,4.5,0.0,122
938,far,3,4.5,0.0,122
1410,far,4,4.5,0.0,122
490,units_per_acre,2,98.01,0.0,122
2005,far,6,2.5,0.0,123
491,units_per_acre,2,100.0,0.0,123
1411,far,4,2.5,0.0,123
939,far,3,2.5,0.0,123
492,units_per_acre,2,100.0,0.0,124
2006,far,6,2.5,0.0,124
1412,far,4,2.5,0.0,124
940,far,3,2.5,0.0,124
941,far,3,2.5,0.0,125
1817,far,5,2.5,0.0,125
1413,far,4,2.5,0.0,125
493,units_per_acre,2,100.0,0.0,125
2007,far,6,2.5,0.0,125
2008,far,6,2.0,0.0,126
942,far,3,2.0,0.0,126
1414,far,4,2.0,0.0,126
494,units_per_acre,2,100.0,30.0,126
495,units_per_acre,2,100.0,0.0,127
943,far,3,2.0,0.0,127
1415,far,4,2.0,0.0,127
2009,far,6,2.0,0.0,127
1416,far,4,4.5,0.0,128
944,far,3,4.5,0.0,128
2010,far,6,4.5,0.0,128
496,units_per_acre,2,92.565,0.0,128
2011,far,6,4.25,0.0,129
1417,far,4,4.25,0.0,129
497,units_per_acre,2,92.565,0.0,129
945,far,3,4.25,0.0,129
946,far,3,3.0,0.0,130
2012,far,6,3.0,0.0,130
1418,far,4,3.0,0.0,130
498,units_per_acre,2,92.0,0.0,130
947,far,3,2.5,0.5,131
499,units_per_acre,2,91.0,0.0,131
2013,far,6,2.5,0.5,131
1419,far,4,2.5,0.5,131
1420,far,4,2.5,0.0,132
2014,far,6,2.5,0.0,132
500,units_per_acre,2,91.0,0.0,132
948,far,3,2.5,0.0,132
501,units_per_acre,2,87.12,0.0,133
2015,far,6,4.0,0.0,133
949,far,3,4.0,0.0,133
1421,far,4,4.0,0.0,133
502,units_per_acre,2,87.12,0.0,134
1422,far,4,2.0,0.0,134
2016,far,6,2.0,0.0,134
950,far,3,2.0,0.0,134
1423,far,4,4.0,0.0,135
951,far,3,4.0,0.0,135
503,units_per_acre,2,85.0,0.0,135
2017,far,6,4.0,0.0,135
2018,far,6,1.0,0.0,136
1424,far,4,1.0,0.0,136
952,far,3,1.0,0.0,136
504,units_per_acre,2,87.12,20.0,136
1818,far,5,4.0,0.0,137
2019,far,6,4.0,0.0,137
505,units_per_acre,2,83.0,0.0,137
1425,far,4,4.0,0.0,137
953,far,3,4.0,0.0,138
1426,far,4,4.0,0.0,138
506,units_per_acre,2,82.0,0.0,138
2020,far,6,4.0,0.0,138
954,far,3,2.0,0.0,139
2021,far,6,2.0,0.0,139
507,units_per_acre,2,82.0,0.0,139
1427,far,4,2.0,0.0,139
1428,far,4,7.0,0.0,140
955,far,3,7.0,0.0,140
2022,far,6,7.0,0.0,140
508,units_per_acre,2,76.23,0.0,140
509,units_per_acre,2,80.0,20.0,141
1429,far,4,2.5,0.0,141
956,far,3,2.5,0.0,141
2023,far,6,2.5,0.0,141
957,far,3,4.0,0.0,142
2024,far,6,4.0,0.0,142
510,units_per_acre,2,78.408,0.0,142
1430,far,4,4.0,0.0,142
2025,far,6,3.0,0.0,143
958,far,3,3.0,0.0,143
511,units_per_acre,2,78.408,0.0,143
1431,far,4,3.0,0.0,143
512,units_per_acre,2,80.0,0.0,144
1432,far,4,2.0,0.0,145
513,units_per_acre,2,78.0,0.0,145
959,far,3,2.0,0.0,145
2026,far,6,2.0,0.0,145
1819,far,5,3.0,0.0,146
2027,far,6,3.0,0.0,146
1433,far,4,3.0,0.0,146
960,far,3,3.0,0.0,146
514,units_per_acre,2,75.0,0.0,146
961,far,3,4.0,0.0,147
1434,far,4,4.0,0.0,147
515,units_per_acre,2,74.0,0.0,147
2028,far,6,4.0,0.0,147
1435,far,4,2.5,0.0,148
2029,far,6,2.5,0.0,148
516,units_per_acre,2,75.0,0.0,148
962,far,3,2.5,0.0,148
1436,far,4,2.5,0.0,149
963,far,3,2.5,0.0,149
517,units_per_acre,2,75.0,0.0,149
1820,far,5,2.5,0.0,149
964,far,3,2.25,0.0,150
2030,far,6,2.25,0.0,150
1437,far,4,2.25,0.0,150
518,units_per_acre,2,75.0,0.0,150
2031,far,6,2.73,0.0,151
1438,far,4,2.73,0.0,151
519,units_per_acre,2,73.0,0.0,151
965,far,3,2.73,0.0,151
966,far,3,3.0,0.0,152
1439,far,4,3.0,0.0,152
2032,far,6,3.0,0.0,152
520,units_per_acre,2,72.0,0.0,152
2033,far,6,2.7,0.0,153
1440,far,4,2.7,0.0,153
967,far,3,2.7,0.0,153
521,units_per_acre,2,72.0,0.0,153
2034,far,6,2.0,0.0,154
522,units_per_acre,2,72.0,0.0,154
1821,far,5,2.0,0.0,154
1441,far,4,2.0,0.0,154
968,far,3,2.0,0.0,154
1442,far,4,1.5,0.0,155
523,units_per_acre,2,72.0,36.0,155
969,far,3,1.5,0.0,155
2035,far,6,1.5,0.0,155
524,units_per_acre,2,70.0,0.0,156
1443,far,4,3.5,0.0,156
1822,far,5,3.5,0.0,156
2036,far,6,3.5,0.0,156
525,units_per_acre,2,72.0,36.0,157
1444,far,4,0.5,0.0,157
970,far,3,0.5,0.0,157
2037,far,6,0.5,0.0,157
971,far,3,2.33,0.0,158
1445,far,4,2.33,0.0,158
526,units_per_acre,2,69.696,0.0,158
2038,far,6,2.33,0.0,158
